CRN,Class Name,Building,long,lat,Size,start,end,mon,tues,wed,thur,fri
80684,ACCT 2101 A,Scheller College of Business 224,33.776533,-84.387765,70,11,12,True,False,True,False,False
85488,ACCT 2101 B,Scheller College of Business 202,33.776533,-84.387765,70,14,15,True,False,True,False,False
82300,ACCT 2101 C,Scheller College of Business 201,33.776533,-84.387765,70,9,11,False,True,False,True,False
80683,ACCT 2101 D,Scheller College of Business 201,33.776533,-84.387765,69,12,14,False,True,False,True,False
94194,ACCT 2101 E,Scheller College of Business 202,33.776533,-84.387765,69,12,14,False,True,False,False,False
82295,ACCT 2102 A,Scheller College of Business 224,33.776533,-84.387765,70,9,11,True,False,True,False,False
85522,ACCT 2102 B,Scheller College of Business 201,33.776533,-84.387765,35,14,15,False,True,False,True,False
80685,ACCT 2102 C,Scheller College of Business 222,33.776533,-84.387765,41,15,17,False,True,False,True,False
89426,AE 1355 A,Guggenheim Aerospace 244,33.771771,-84.395796,8,17,18,False,True,False,False,False
82083,AE 1355 A01,Guggenheim Aerospace 244,33.771771,-84.395796,8,18,21,False,True,False,True,False
87245,AE 1601 A,Instructional Center 215,33.775587,-84.401213,72,9,11,False,True,False,True,False
87246,AE 1601 B,Skiles 249,33.773568,-84.395957,68,12,14,False,True,False,True,False
87247,AE 1601 C,Skiles 249,33.773568,-84.395957,38,14,15,False,True,False,True,False
94065,AE 1601 D,Weber SST III 2,33.772949,-84.396066,51,17,18,False,True,False,True,False
85438,AE 2010 A,Guggenheim Aerospace 442,33.771771,-84.395796,73,8,10,False,False,True,False,True
85440,AE 2010 B,Skiles 249,33.773568,-84.395957,53,8,10,False,True,False,True,False
91346,AE 2010R A,Guggenheim Aerospace 442,33.771771,-84.395796,68,18,20,False,False,True,False,False
91347,AE 2010R B,Guggenheim Aerospace 442,33.771771,-84.395796,39,18,20,False,False,False,True,False
88231,AE 2011 A,Guggenheim Aerospace 442,33.771771,-84.395796,3,8,10,False,False,True,False,True
88232,AE 2011 B,Skiles 249,33.773568,-84.395957,4,8,10,False,True,False,True,False
89196,AE 2011R A,Guggenheim Aerospace 442,33.771771,-84.395796,2,18,20,False,False,True,False,False
89198,AE 2011R B,Guggenheim Aerospace 442,33.771771,-84.395796,4,18,20,False,False,False,True,False
80002,AE 2220 A,College of Computing 101,33.777576,-84.397352,56,9,11,False,True,False,True,False
